Stakeholder,Requisito,Prioridade,Status,Data de Reunião
Marketing,Personalização de anúncios para aumentar engajamento,Alta,Em andamento,2025-01-05
Produto,Criar novos tipos de anúncios,Média,Concluído,2025-01-10
Vendas,Anúncios mais direcionados para novos usuários,Alta,Em andamento,2025-01-15
Marketing,Campanhas de descontos mais visíveis,Alta,Concluído,2025-01-20
Produto,Maior segmentação por localização,Baixa,Em andamento,2025-01-22
Vendas,Ajustes em métricas de conversão,Média,Em planejamento,2025-01-25
Marketing,Melhorias na estratégia de retenção,Alta,Em andamento,2025-01-28
Vendas,Otimizar funil de vendas para leads qualificados,Alta,Em andamento,2025-01-30
Vendas,Criação de relatórios automatizados de desempenho,Média,Em planejamento,2025-02-02
Marketing,Integração de novas ferramentas de análise de dados,Média,Em andamento,2025-02-05
Vendas,Estratégias para acelerar o ciclo de vendas,Alta,Concluído,2025-02-08
Marketing,Aumento da personalização em campanhas de email marketing,Alta,Em andamento,2025-02-10
Vendas,Foco em promoções para novos mercados,Média,Concluído,2025-02-12
Vendas,Análise de performance de novos vendedores,Alta,Em planejamento,2025-02-14
Vendas,Melhorias na taxa de resposta dos leads,Alta,Em andamento,2025-02-16
Marketing,Revisão e adaptação de campanhas de vídeo,Média,Concluído,2025-02-18
Produto,Ajustes de funcionalidades em novas campanhas,Baixa,Em andamento,2025-02-20
Marketing,Expansão de campanhas em mídias sociais emergentes,Alta,Em planejamento,2025-02-22
Produto,Criação de novos formatos de anúncios visuais,Média,Concluído,2025-02-24
Vendas,Implementação de sistema de CRM atualizado,Alta,Em andamento,2025-02-26
Marketing,Novas estratégias de captação de leads,Alta,Em planejamento,2025-02-28
Produto,Avaliação de impacto de novas funcionalidades,Média,Concluído,2025-03-02
Vendas,Análises preditivas para performance de vendas,Alta,Em andamento,2025-03-05
Marketing,Segmentação de público para campanhas regionais,Baixa,Em andamento,2025-03-07
Vendas,Revisão das metas trimestrais de vendas,Média,Em planejamento,2025-03-10
Vendas,Integração com novos parceiros de vendas,Alta,Em andamento,2025-03-12